40.33,-3.85
40.33,-3.84
40.33,-3.83
40.33,-3.82
40.33,-3.81
40.33,-3.8
40.33,-3.79
40.33,-3.78
40.33,-3.77
40.33,-3.76
40.33,-3.75
40.33,-3.74
40.33,-3.73
40.33,-3.72
40.33,-3.71
40.33,-3.7
40.33,-3.69
40.33,-3.68
40.33,-3.67
40.33,-3.66
40.33,-3.65
40.33,-3.64
40.33,-3.63
40.33,-3.62
40.33,-3.61
40.33,-3.6
40.33,-3.59
40.33,-3.58
40.33,-3.57
40.33,-3.56
40.33,-3.55
40.33,-3.54
40.33,-3.53
40.33,-3.52
40.33,-3.51
40.33,-3.5
40.34,-3.85
40.34,-3.84
40.34,-3.83
40.34,-3.82
40.34,-3.81
40.34,-3.8
40.34,-3.79
40.34,-3.78
40.34,-3.77
40.34,-3.76
40.34,-3.75
40.34,-3.74
40.34,-3.73
40.34,-3.72
40.34,-3.71
40.34,-3.7
40.34,-3.69
40.34,-3.68
40.34,-3.67
40.34,-3.66
40.34,-3.65
40.34,-3.64
40.34,-3.63
40.34,-3.62
40.34,-3.61
40.34,-3.6
40.34,-3.59
40.34,-3.58
40.34,-3.57
40.34,-3.56
40.34,-3.55
40.34,-3.54
40.34,-3.53
40.34,-3.52
40.34,-3.51
40.34,-3.5
40.35,-3.85
40.35,-3.84
40.35,-3.83
40.35,-3.82
40.35,-3.81
40.35,-3.8
40.35,-3.79
40.35,-3.78
40.35,-3.77
40.35,-3.76
40.35,-3.75
40.35,-3.74
40.35,-3.73
40.35,-3.72
40.35,-3.71
40.35,-3.7
40.35,-3.69
40.35,-3.68
40.35,-3.67
40.35,-3.66
40.35,-3.65
40.35,-3.64
40.35,-3.63
40.35,-3.62
40.35,-3.61
40.35,-3.6
40.35,-3.59
40.35,-3.58
40.35,-3.57
40.35,-3.56
40.35,-3.55
40.35,-3.54
40.35,-3.53
40.35,-3.52
40.35,-3.51
40.35,-3.5
40.36,-3.85
40.36,-3.84
40.36,-3.83
40.36,-3.82
40.36,-3.81
40.36,-3.8
40.36,-3.79
40.36,-3.78
40.36,-3.77
40.36,-3.76
40.36,-3.75
40.36,-3.74
40.36,-3.73
40.36,-3.72
40.36,-3.71
40.36,-3.7
40.36,-3.69
